date,ticker,open,high,low,close
2017/1/1,DOGE,0.00023,0.00023,0.000227,0.000227
2017/2/1,DOGE,0.00021,0.00021,0.000206,0.000209
2017/3/1,DOGE,0.000202,0.000206,0.000198,0.000199
2017/4/1,DOGE,0.000339,0.000363,0.000321,0.000335
2017/5/1,DOGE,0.000726,0.00075,0.000579,0.000661
2017/6/1,DOGE,0.002421,0.002691,0.002418,0.002621
2017/7/1,DOGE,0.002555,0.002562,0.002173,0.002215
2017/8/1,DOGE,0.001647,0.001808,0.001594,0.00178
2017/9/1,DOGE,0.0021,0.0025,0.002048,0.002492
2017/10/1,DOGE,0.001168,0.001169,0.0009,0.001076
2017/11/1,DOGE,0.001147,0.00118,0.00109,0.001125
2017/12/1,DOGE,0.002053,0.00224,0.001971,0.002127
2018/1/1,DOGE,0.008927,0.00899,0.007961,0.008691
2018/2/1,DOGE,0.005885,0.006067,0.004808,0.005037
2018/3/1,DOGE,0.006172,0.006359,0.005989,0.006273
2018/4/1,DOGE,0.002854,0.002877,0.0027,0.002803
2018/5/1,DOGE,0.005279,0.005316,0.004966,0.00514
2018/6/1,DOGE,0.003444,0.003521,0.003362,0.003422
2018/7/1,DOGE,0.002574,0.002574,0.002447,0.002479
2018/8/1,DOGE,0.002969,0.003048,0.00292,0.003021
2018/9/1,DOGE,0.004,0.006489,0.004,0.005833
2018/10/1,DOGE,0.005969,0.0061,0.00588,0.005986
2018/11/1,DOGE,0.003932,0.004062,0.00379,0.003798
2018/12/1,DOGE,0.00213,0.002244,0.002107,0.002235
2019/1/1,DOGE,0.00236,0.002377,0.00233,0.002341
2019/2/1,DOGE,0.001922,0.001922,0.001837,0.001854
2019/3/1,DOGE,0.001976,0.00202,0.00196,0.002
2019/4/1,DOGE,0.002098,0.002614,0.002048,0.002406
2019/5/1,DOGE,0.002514,0.002546,0.002464,0.002525
2019/6/1,DOGE,0.00341,0.003517,0.003305,0.003438
2019/7/1,DOGE,0.003385,0.003385,0.003002,0.003281
2019/8/1,DOGE,0.002814,0.002936,0.00278,0.002917
2019/9/1,DOGE,0.002516,0.002542,0.002395,0.002428
2019/10/1,DOGE,0.002314,0.002542,0.002308,0.002415
